PK_DiagnosticDataSet;StartDateTime;EndDateTime;AlarmCount;Description_L1;Description_L1;PK_DinGroup
64182;2017-06-26 22:27:56.003;2017-06-26 22:29:04.003;8;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64183;2017-06-26 22:29:37.003;2017-06-27 00:47:04.003;9;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64208;2017-06-27 00:47:38.003;2017-06-27 00:51:34.003;10;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64209;2017-06-27 00:51:46.003;2017-06-27 00:54:42.007;11;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64210;2017-06-27 00:55:31.007;2017-06-27 03:06:23.007;12;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64278;2017-06-27 03:07:05.007;2017-06-27 03:13:43.007;13;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64281;2017-06-27 03:15:44.007;2017-06-27 04:15:57.007;14;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64289;2017-06-27 04:16:12.007;2017-06-27 04:19:30.007;15;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64293;2017-06-27 04:20:18.007;2017-06-27 04:31:23.007;16;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64309;2017-06-27 04:31:39.007;2017-06-27 04:37:26.003;17;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64582;2017-06-28 01:33:47.007;2017-06-28 01:59:21.003;1;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
68420;2017-07-24 21:12:26.003;2017-07-24 21:14:44.003;1;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
68424;2017-07-24 21:15:02.003;2017-07-24 21:15:58.003;2;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
68425;2017-07-24 21:16:10.007;2017-07-24 21:16:39.003;3;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
68426;2017-07-24 21:16:51.003;2017-07-24 21:17:15.003;4;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
